GroupName,TeacherName,SubjectName,Day,Hour,ClassroomNumber
Group 1-A,User 2,Mathematics 1,1,1,105
Group 2-A,User 3,Physics 1,1,1,101
Group 3-A,User 4,Programming 1,1,1,102
Group 4-A,User 5,Algorithms 1,1,1,103
Group 5-A,User 6,Database Systems 1,1,1,104
Group 6-A,User 7,Web Development 1,1,1,105
Group 7-A,User 8,Operating Systems 1,1,1,101
Group 8-A,User 9,Computer Networks 1,1,1,102
Group 9-A,User 10,Software Engineering 1,1,1,103
Group 10-A,User 11,Data Structures 1,1,1,104
Group 1-B,User 12,Artificial Intelligence 1,1,1,105
Group 2-B,User 13,Machine Learning 1,1,1,101
Group 3-B,User 14,Cyber Security 1,1,1,102
Group 4-B,User 15,Data Science 1,1,1,103
Group 5-B,User 2,Computer Graphics 1,1,2,104
Group 6-B,User 3,Mobile Development 1,1,2,105
Group 7-B,User 4,Cloud Computing 1,1,2,101
Group 8-B,User 5,Big Data 1,1,2,102
Group 9-B,User 6,Internet of Things 1,1,2,103
Group 10-B,User 7,Blockchain Technology 1,1,2,104
Group 1-C,User 8,Mathematics 2,1,2,105
Group 2-C,User 9,Physics 2,1,2,101
Group 3-C,User 10,Programming 2,1,2,102
Group 4-C,User 11,Algorithms 2,1,2,103
Group 5-C,User 12,Database Systems 2,1,2,104
Group 6-C,User 13,Web Development 2,1,2,105
Group 7-C,User 14,Operating Systems 2,1,2,101
Group 8-C,User 15,Computer Networks 2,1,2,102
Group 9-C,User 2,Software Engineering 2,1,3,103
Group 10-C,User 3,Data Structures 2,1,3,104
